Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Code Mois,Mois,Unité,Valeur,Symbole,Description du Symbole
"PP","Prix à la Production","110","Japon","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","2039.4","","Donnée officielle"
"PP","Prix à la Production","113","Kirghizistan","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","1869.4","","Donnée officielle"
"PP","Prix à la Production","119","Lettonie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","1447.8","","Donnée officielle"
"PP","Prix à la Production","121","Liban","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","1936.3","","Donnée officielle"
"PP","Prix à la Production","126","Lituanie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","987.6","","Donnée officielle"
"PP","Prix à la Production","256","Luxembourg","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","3977.3","","Donnée officielle"
"PP","Prix à la Production","154","Macédoine du Nord","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","713","","Donnée officielle"
"PP","Prix à la Production","131","Malaisie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","1313.5","","Donnée officielle"
"PP","Prix à la Production","138","Mexique","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","1179.9","","Donnée officielle"
"PP","Prix à la Production","144","Mozambique","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","2353.9","","Donnée officielle"
"PP","Prix à la Production","153","Nouvelle-Calédonie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","7353","","Donnée officielle"
"PP","Prix à la Production","156","Nouvelle-Zélande","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","1264.8","","Donnée officielle"
"PP","Prix à la Production","299","Palestine","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","2498.9","","Donnée officielle"
"PP","Prix à la Production","150","Pays-Bas","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","1013.1","","Donnée officielle"
"PP","Prix à la Production","170","Pérou","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","1479.2","","Donnée officielle"
"PP","Prix à la Production","171","Philippines","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","1900.8","","Donnée officielle"
"PP","Prix à la Production","173","Pologne","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","963.5","","Donnée officielle"
"PP","Prix à la Production","174","Portugal","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","998.7","","Donnée officielle"
"PP","Prix à la Production","146","République de Moldova","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","1159.9","","Donnée officielle"
"PP","Prix à la Production","56","République dominicaine","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","1004.8","","Donnée officielle"
"PP","Prix à la Production","183","Roumanie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","964.1","","Donnée officielle"
"PP","Prix à la Production","184","Rwanda","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","3346.6","","Donnée officielle"
"PP","Prix à la Production","189","Sainte-Lucie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","1874.1","","Donnée officielle"
"PP","Prix à la Production","195","Sénégal","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","2875","","Donnée officielle"
"PP","Prix à la Production","272","Serbie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","1045.3","","Donnée officielle"
"PP","Prix à la Production","199","Slovaquie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","996.5","","Donnée officielle"
"PP","Prix à la Production","198","Slovénie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","1177","","Donnée officielle"
"PP","Prix à la Production","38","Sri Lanka","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","2553.6","","Donnée officielle"
"PP","Prix à la Production","211","Suisse","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","2438.9","","Donnée officielle"
"PP","Prix à la Production","207","Suriname","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","2345.1","","Donnée officielle"
"PP","Prix à la Production","167","Tchéquie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","1059.8","","Donnée officielle"
"PP","Prix à la Production","216","Thaïlande","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","1064.7","","Donnée officielle"
"PP","Prix à la Production","223","Turquie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","2640.5","","Donnée officielle"
"PP","Prix à la Production","230","Ukraine","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","1062.6","","Donnée officielle"
"PP","Prix à la Production","234","Uruguay","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","1334.4","","Donnée officielle"
"PP","Prix à la Production","181","Zimbabwe","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","4666.7","","Donnée officielle"
